PLC,Model,Fault,Diagnostic,Corrective Action
ge,series ,input module led off,power supply is defective or not connected properly,check the connection of the power supply replace if defective
ge,series ,output module led off,module is defective,replace the module
ge,series ,output module led off,led light may be bad,replace is defective
ge,series ,safety ground and electrical system,faulty cables and conduits poor safety ground connections,check frequently to ensure that safety ground connections are secure and that electrical cables and conduits are secure and in good condition
ge,series ,cpu memory backup battery,the battery may be bad,replace the battery
ge,series ,option module backup battery,the battery may be bad,replace the battery
ge,series ,ventilation,ventilation air filter maybe clogged or damaged,clean or replace the ventilation air filter
ge,series ,mechanical tightness,connectors modules and wires maybe loose,check that connectors and modules are seated securely in their sockets and wire connections are secure
ge,series ,enclosure,there maybe components that are loose in the enclosure that could cause shorts ventilation blockage or start a fire,reove loose materials in the enclosure and gently vacuum dust and dirt using a vacuum cleaner
click,click plus plc,io module error,there are more than  io modules,a click plc system can support up to  io modules remove any excessive io modules
click,click plus plc,io module error,at least one io module was added to the click plc during operation,power off the click plc and check the connection of the io modules then power on the click plc again if the problem remains connect the click software to the plc and check the system configuration if there is any io module that is not shown in the system configuration replace it
click,click plus plc,io module error,an io module has failed,connect the click software to the click plc and check the system configuration if there is any io module that is used in the plc system but not shown in the system configuration window replace the io module
click,click plus plc,system config error,the current system configuration does not match the configuration saved in the project file,connect the click software to the click plc and open the system configuration window modify the current configuration of the click plc to match the configuration in the project file or uncheck the startup io config check option if you want to use the current configuration
click,click plus plc,io config error,at least one io module was removed from the click plc during operation,power off the click plc and check the connection of the io modules then power on the click plc again if the problem remains connect the click software to the plc and check the system configuration if there is any io module that is not shown in the system configuration replace it
click,click plus plc,io config error,the plc unit can not access one or more io modules,connect the click software to the click plc and open the system configuration window if there is any io module that is used in the plc system but not shown in the system configuration window replace the io module
click,click plus plc,memory check error,there is a memory check error,power cycle the click plc if the same error occurs again download the project again andor try the reset to factory default command if the same error still occurs replace the plc unit
click,click plus plc,project file error,there is no project file in the click plc,download a project file into the click plc
click,click plus plc,project file error,the project file stored in the click plc is corrupted,download the project file into the click plc again
click,click plus plc,firmware version error,the project file was written on a newer version of click software the firmware in the click plc is too old to execute the project,connect the click software to the click plc and update the firmware of the plc unit
click,click plus plc,watchdog timer error,the plc scan time exceeded the watchdog timer setup,connect the click software to the plc and check the maximum plc scan time and the watchdog timer setup
click,click plus plc,interrupt watchdog timer error,the plc scan time exceeded the watchdog timer setup,the watchdog timer was exceeded while executing an interrupt program reduce the occurrences of interrupts or reduce the executing time of the interrupt programs to prevent this error
click,click plus plc,lost sram data,the data in the sram was lost while the click plc was powered off,the data in the sram is lost if the click plc is powered off for long enough for the capacitor to discharge in this case the click plc initializes the data in the sram automatically this also applies to standard and analog plc units if a battery is not installed
click,click plus plc,battery low voltage,battery voltage is too low to retain data in the sram,replace the battery adc part  dbat also set the new battery installation date and the anticipated replacement date in the click programming software if the battery replacement notification option is selected
click,click plus plc,battery replacement,the anticipated battery replacement date has passed,replace the battery adc part  dbat also set the new battery installation date and the anticipated replacement date in the click programming software
click,click plus plc,io module error,the analog io module in io position is not functioning,power cycle the click plc if the same error occurs again replace the analog io module
click,click plus plc,io module error,the analog io module in io position is not functioning,power cycle the click plc if the same error occurs again replace the analog io module
click,click plus plc,io module error,the analog io module in io position is not functioning,power cycle the click plc if the same error occurs again replace the analog io module
click,click plus plc,io module error,the analog io module in io position is not functioning,power cycle the click plc if the same error occurs again replace the analog io module
click,click plus plc,io module error,the analog io module in io position is not functioning,power cycle the click plc if the same error occurs again replace the analog io module
click,click plus plc,io module error,the analog io module in io position is not functioning,power cycle the click plc if the same error occurs again replace the analog io module
click,click plus plc,io module error,the analog io module in io position is not functioning,power cycle the click plc if the same error occurs again replace the analog io module
click,click plus plc,io module error,the analog io module in io position is not functioning,power cycle the click plc if the same error occurs again replace the analog io module
click,click plus plc,io missing v,the analog io module in i o position is missing external vdc input,apply vdc to the analog io module
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io missing v,the analog io module in i o position is missing external vdc input,apply vdc to the analog io module
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io missing v,the analog io module in i o position is missing external vdc input,apply vdc to the analog io module
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io missing v,the analog io module in i o position is missing external vdc input,apply vdc to the analog io module
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io missing v,the analog io module in i o position is missing external vdc input,apply vdc to the analog io module
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io missing v,the analog io module in i o position is missing external vdc input,apply vdc to the analog io module
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io missing v,the analog io module in i o position is missing external vdc input,apply vdc to the analog io module
click,click plus plc,io ch burnout,ch on the analog io module in ioposition senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in ioposition senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in ioposition senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in ioposition senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io missing v,the analog io module in i o position is missing external vdc input,apply vdc to the analog io module
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,io ch burnout,ch on the analog io module in io position senses burnout or open circuit,check the wiring for ch replace the sensor if it is broken
click,click plus plc,pwr blinking,the plc input power is not sufficient,check the voltage on the terminal located on the bottom of the plc the input voltage should be  vdc also check the power input wiring  terminal connections the power supply may need to be replaced
click,click plus plc,pwr off,there is no power to the plc,check the voltage on the terminal located on the bottom of the plc the input voltage should be  vdc also check the power input wiring  terminal connections the power supply may need to be replaced
click,click plus plc,run blinking,the plc is initializing the crtd or cthm when a crtd or cthm is installed in the click plc system the run led blinks for up to  seconds to indicate that the plc unit is initializing the analog input module after powerup,if the run led keeps blinking after the initial  seconds power cycle the click plc system if the symptom remains replace the plc unit andor the analog input module
click,click plus plc,run off,the plc is in stop mode,if the toggle switch next to the led indicators is in stop position no action is necessary if the switch is in run position and you want to put the plc unit in run mode toggle the switch to stop position and then back to run position if the run led stays off connect the click programming software to read the error information
click,click plus plc,err on,there is an error in the plc,connect the click programming software to check the error
click,click plus plc,err blinking,there is a warning warnings do not prevent the plc unit from running, check what warnings are active connect the click programming software to read the warning information
click,click plus plc,conducted electronic noise,the electronic interference may enter through an io circuit a power supply connection the communication ground connection or the chassis ground connection,check that the safety ground connections are secure and that electrical wires and conduits are secure and in good condition
click,click plus plc,radiated electronic noise,this electronic noise can enter the system through the power source for the plc and io circuits,install an isolation transformer for all ac sources
click,click plus plc,input signal is on but the led indicator on the module is off,the terminal block may be disconnected,check whether the terminal block is attached correctly
click,click plus plc,the led indicator is on but the plc does not work as expected,there is a problem with the io configuration,check the io configuration with the programming software
click,click plus plc,the module led indicator is on but there is no output,incorrect external power input voltage to the terminal block,check the external power input voltage on the terminal block
phoenix,axc ,code of failed service,maximum number of permitted parallel services exceeded processing conflict,wait for the previously invoked service to be completed and try again
phoenix,axc ,value transimitted in parametercount,the number of parameter is inconsistent with the service the parameter count parameter does not match the number of subsequent words,adjust the number of parameters
phoenix,axc ,code of failed service,the invoked service is not supported,use a service that is supported
phoenix,axc ,code of failed service,service decoding failed,restart the device
phoenix,axc ,code of the unknown service,invocation of an unknown service code,check the invocation
phoenix,axc ,invalid variableid,unknown variable id component,check the invocation
phoenix,axc ,reserved variableid,an internal variable id was used,check the invocation
phoenix,axc ,variableid not enabled,the variable id is not enabled password protection,check the invocation
phoenix,axc ,incorrect variableid,length specification in the variable id is  or incorrect,check the invocation
phoenix,axc ,incorrect variablecount,the number of variables has been calculated incorrectly,check the invocation
phoenix,axc ,current state of the local bus master,a service was invoked that is not permitted in the current status of the local bus master,set the local bus master to the required state
phoenix,axc ,memory problem,this error may occur because the buffer is too small,restart the device
phoenix,axc ,code of failed service,maximum number of permitted parallel sm services exceeded processing conflict,wait for the previously invoked service to be completed and try again
phoenix,axc ,unknown variableid,invocation of setvalue or readvalue with a variableid that contains an unknown code,check the invocation
phoenix,axc ,current state of the local bus master,energysaving mode cannot be activated in the current state of the local bus master,set the local bus master to the required state
phoenix,axc ,invalid usedattributes parameter,a reserved bit is set in usedattributes,check the parameters
phoenix,axc ,number of bus devices,the end of the frame was exceeded when accessing the configuration or line  was accessed,check access
phoenix,axc ,invalid framereference if specified,the frame reference specified for the service does not exist,check the parameters
phoenix,axc ,number of connected devices,maximum number of devices exceeded,reduce the bus configuration
phoenix,axc ,unsupported chip version,device with an unsupported chip version present in the local bus,replace the device
phoenix,axc ,unsupported manufacturer,device from an unsupported manufacturer present in the local bus,replace the device
phoenix,axc ,faulty eeprom,device is reporting a serious error,restart the device
phoenix,axc ,device number,the master does not support the topology used by the device,replace the device
phoenix,axc ,device number,error at the interface,check the connection bextween the electronics module and bus base module
phoenix,axc ,unknown number of parameters,the device requires parameters for correct operation,parameterize the device or restart it
phoenix,axc ,object index,service eg createconfiguration could not be executed due to pdi communication malfunctions timeout,restart the device
phoenix,axc ,object index,service eg createconfiguration could not be executed due to pdi communication malfunctions number,restart the device
phoenix,axc ,object index,service eg createconfiguration could not be executed due to pdi communication malfunctions error,restart the device
phoenix,axc ,device number,device was selected for synchronization but does not support this,select a device that supports synchronization or change the selection
phoenix,axc ,device number,device was selected for synchronization but does not support the specified cycle time,select a different cycle time or a different device
phoenix,axc ,device number,device was selected for synchronization  but does not support the specified value for inputdelay,select a different value for inputdelay or a different device
phoenix,axc ,device number,device was selected for synchronization but does not support the specified value for outputdelay,select a different value for outputdelay or a different device
phoenix,axc ,device number,device was selected for synchronization  but does not support the specified values for inputdelay and outputdelay,select different values for inxputdelay and outputdelay or a different device
phoenix,axc ,error in the communication relationship,miscellaneous error,check the invocation
phoenix,axc ,error in the communication relationship,unable to access the project module not present or incorrect module number,check the invocation
phoenix,axc ,invalid service,miscellaneous error,check the invocation
phoenix,axc ,invalid access,miscellaneous error,check the invocation
phoenix,axc ,invalid access,invalid object,check the invocation
phoenix,axc ,invalid access,hardware fault,eliminate the hardware fault restart the device
phoenix,axc ,error in the application,a reserved bit or reserved code was used during parameterization,check the parameterization
phoenix,axc ,pdi object index,invalid parameters,check the parameters
phoenix,axc ,pdi object index,access not supported,check the invocation
phoenix,axc ,pdi object index,maximum number of permitted parallel pdi services exceeded,wait until the services have been processed
phoenix,axc ,unknown variableid,incorrect variable id for setvalue or readvalue,check the invocation
phoenix,axc ,invalid device number,invalid slot number value is  or greater than the maximum number of dexvices,check the invocation
phoenix,axc ,invalid device number,slot is not active,check the invocation
phoenix,axc ,invalid data length,invalid data length,check the invocation
phoenix,axc ,invalid number of parameters,invalid number of parameters,check the invocation
phoenix,axc ,current,short circuit overload of the analog output or short circuit,check wiring
phoenix,axc ,current,input overload overload of the sensor supply for the inputs,check wiring
phoenix,axc ,current,overload or short circuit of the sensor supply and the actuator supply,check wiring
phoenix,axc ,current,output overload short circuit or overload of an output,check wiring
phoenix,axc ,current,sensor supply overload,check wiring
phoenix,axc ,voltage,overvoltage at a signal input of the incremental encoder,check wiring
phoenix,axc ,voltage,undervoltage at a signal input of the incremental encoder,check wiring
phoenix,axc ,voltage,output voltage short circuit or overload at the output,check wiring
phoenix,axc ,voltage,io supply voltage failure,check the supply
phoenix,axc ,voltage,overvoltage at port x,check the supply
phoenix,axc ,voltage,undervoltage at port x,check the supply
phoenix,axc ,voltage,sensor supply not present io supply voltage failure,check the supply
phoenix,axc ,voltage,actuator supply not present,check the supply
phoenix,axc ,temperature,overtemperature,reduce the ambient temperature
phoenix,axc ,temperature,overtemperature,ensure sufficient ventilation
phoenix,axc ,temperature,overtemperature,reduce the load
phoenix,axc ,temperature,overtemperature,check the mounting position
phoenix,axc ,device hardware,faulty  v supply short circuit or overload at the  v supply,check the supply
phoenix,axc ,device hardware,short circuit or overload at the  v supply,check the supply
phoenix,axc ,device hardware,cold junction invalid,check the cold junction
phoenix,axc ,device hardware,supply voltage faulty io supply overload,check the supply
phoenix,axc ,device software,parameter record incorrect,check the parameterization of the specified device
phoenix,axc ,device software,device error,restart the device replace the device if the error persists
phoenix,axc ,device software,device error lost parameters,"parameterize the specified device 
restart the device 
replace the device if the error persists"
phoenix,axc ,device software,parameter table invalid,check the parameterization of the specified device
phoenix,axc ,encoder ,encoder error,check the encoder
phoenix,axc ,encoder ,electrical encoder error,check the encoder
phoenix,axc ,encoder ,logical encoder error,check the encoder
phoenix,axc ,modules,receive buffer full,read the receive buffer
phoenix,axc ,modules,transmit buffer full,check the handshake
phoenix,axc ,modules,eprom device error,restart the device replace the device if the error persists
phoenix,axc ,modules,wire break on cable to sensor or on signal line,remove the wire break
phoenix,axc ,monitoring,transmit buffer full,check the handhsake
phoenix,axc ,monitoring,receive buffer full,read the receive buffer
phoenix,axc ,monitoring,incremental encoder input error,"check the input signal
remove the short circuit
connect the encoder"
phoenix,axc ,monitoring,measuring range violated overrange,"adjust the range
check the wiring"
phoenix,axc ,monitoring,measuring range violated underrange,"adjust the range
check the wiring"
phoenix,axc ,modular devices lowerlevel bus subbus,lowerlevel bus no module present,check the connected lowerlevel bus and its power supply
phoenix,axc ,modular devices lowerlevel bus subbus,no module found at a port configured as iolink after  seconds following port configuration,"check whether the iolink device is connected correctly
check the cabling
replace the iolink device"
phoenix,axc ,modular devices lowerlevel bus subbus,lowerlevel bus incorrect module present,"check the specified device and its power supply
check the desired and actual configuration"
phoenix,axc ,modular devices lowerlevel bus subbus,connected iolink device does not match iolink port configuration,"check the specified device and its power supply
check the desired and actual configuration"
phoenix,axc ,modular devices lowerlevel bus subbus,lowerlevel bus parameterization error on the device,check the parameterization
phoenix,axc ,modular devices lowerlevel bus subbus,parameterization error on the device at the relevant port data storage problem,check the parameterization
phoenix,axc ,modular devices lowerlevel bus subbus,lowerlevel bus management data communication error,check the specified device and its power supply
phoenix,axc ,modular devices lowerlevel bus subbus,lowerlevel bus configuration error,check the parameterization of the specified device
phoenix,axc ,modular devices lowerlevel bus subbus,lowerlevel bus hardware fault,restart the device replace the device if the error persists
phoenix,axc ,modular devices lowerlevel bus subbus,lowerlevel bus firmware error,check the parameterization of the specified device
schneider,modicon tsx,physical network connection problem,"physical cable connections from the end device to the wall may be disconnected
the cables may be defective",use the proper physical cable connections from the end device to the wall patch panel hub or switch check for cable defects replace defective cables
schneider,modicon tsx,physical network connection problem,there is no crossover cables between the netwrok devices,make sure that crossover cables have been used between network devices hubtohub switchtoswitch etc where required
schneider,modicon tsx,physical network connection problem,cable length exceeds the ethernet specifications,make sure the cable length does not exceed ethernet specifications
schneider,modicon tsx,physical network connection problem nic,the network card is not proprely seated in the machine,make sure the traditional or pcmcia network card is properly seated in the machine swap the nic card for another to test card performance
schneider,modicon tsx,physical network hardware problem,lack of power to the network hardware,check the hubs switches routers and other network devices for power
schneider,modicon tsx,physical network hardware problem,there is an issue with the uplink cable connection,check the uplink connectivity for stacked devices
schneider,modicon tsx,tcp socket error data is not transferred,the tcp socket is aborted or closed before data transfer some devices report an error code but most report a timeout or general error message ,solve this problem by correcting the tcp socket error
schneider,modicon tsx,fucntion code,all network servers do not support all function codes,choose a supported function code to correct the error
schneider,modicon tsx,request not accepted,a socket connection to the server cannot be established because of controlled access,check access to the server
schneider,modicon tsx,request not accepted,a socket connection to the server cannot be established because of the number of server sockets is exceeded,ensure the number of server socets does not exceed the limit set
schneider,modicon tsx,a device can be discovered but cannot be accessed to read data,incorrect community strings,the read string must be correct to read data and the write string must be correct to write data
schneider,modicon tsx,a device cannot be discovered,a known network device can not be discovered by an snmp management system usually because the device does not support snmp or because a firewall blocks snmp traffic,check the network device with a ping request from a dos prompt
schneider,modicon tsx,device access,cannot access device a firewall is a common access restriction,the firewall should be configured to allow access to your http request
schneider,modicon tsx,cannot log in to the device or cannot perform the desired action,an incorrect username or password was used,enter the correct username or passowrd while accessing the device
schneider,modicon tsx,cannot perform the desired function,this problem is common when the current username does not provide access to the desired action for example an attempt to write a file is made with a readonly login,ensure the login credentials provide access to the desired action selected
schneider,modicon tsx,no response from the server to a request for an ip address,the server does not list the device by either rolename or mac address,update the server table when adding a replacement device with a new mac address
schneider,modicon tsx,no response from the server to a request for an ip address,a firewall or router prevents the client from reaching the server,set up the server as a dhcp relay agent to correct the problem
schneider,modicon tsx,slow response from the server causing a timeout on the client,a server can respond slowly when it is overloaded because many devices are powered up at the same time,power up the devices at different times to avoid overloading the servers
schneider,modicon tsx,slow response from the server causing a timeout on the client,a server can respond slowly when client and server are powered on at the same time,ensure the server is powered first then power the client devices later
schneider,modicon tsx,cannot connect to server,passowrd is incorrect,check that the server uses the same password scheme as the client check that the passwords are correct
schneider,modicon tsx,cannot send messages,server failure,check server connection error counter
schneider,modicon tsx,messages slow to arrive,server delays,send email from pc client to confirm that it is a server delay and not a client delay if server delay is confirmed consult the it staff
schneider,modicon tsx,network delys cause time inaccuracies,nonuniform network loads can cause large delays in either the request or response message because ntp algorithms that calculate accurate times assume uniform network delays,eliminate the routers and switches between the server and client to move the server closer to the network client device
schneider,modicon tsx,network delys cause time inaccuracies,nonuniform network loads can cause large delays in either the request or response message because ntp algorithms that calculate accurate times assume uniform network delays,implement a separate network possibly a vlan for the ntp system to move the server closer to the network client device
schneider,modicon tsx,slow response caused by scada,if the observed response time is slow then a queue of scada requests in the server can cause a long delay,"reduce the number of requests sent to the server
start an additional queue for data access and send requests on that path"
schneider,modicon tsx,bridge communication faailure,slow responses or communication failure,reduce the number of devices on the serial line side of the bridge
schneider,modicon tsx,responding to packet loss,packet lost in a switch or network device,check the switch load
schneider,modicon tsx,responding to packet loss,packet loss causes an application error,extend the application timeout to allow for the recovery of tcp layer
schneider,modicon tsx,responding to packet loss,packet loss causes an application error,modify the devices for faster tcp layer recovery requires a firmware change
schneider,modicon tsx,responding to packet loss,packet loss causes an application error,reduce the number of packets lost
schneider,modicon tsx,packets capture problem,packets from the required device are not seen only packets to or from the host pc are captured by the tool,the package does not operate in promiscuous mode enable this mode to allow the computer to capture all data seen on the ethernet cable connected to the computer
schneider,modicon tsx,packets capture problem,packets from the device being analyzed are not captured but broadcast packets are,"to allow the packet capture tool to see the packet do one of the following
replace the switch with a hub
insert a hub between the device in question and the switch
enable port mirroring
configure the switch to operate as a hub"
mitsubishi,logic controller,main cpu down,"run mode suspended or failure of main cpu
 malfunctioning due to noise or other reason
 hardware fault"," take noise reduction measures
 reset the cpu module and run it again if the same error is displayed again this suggests a cpu hardware fault"
mitsubishi,logic controller,end not execute,entire program was executed without the execution of an end instruction," take noise reduction measures
 reset the cpu module and run it again if the same error is displayed again this suggests a cpu hardware fault "
mitsubishi,logic controller,ram error,the sequence program storing builtin ramprogram memory in the cpu module is faulty,this suggests a cpu module hardware fault contact your nearest mitsubishi representative
mitsubishi,logic controller,ram error,the work area ram in the cpu module is faulty,this suggests a cpu module hardware fault contact your nearest mitsubishi representative
mitsubishi,logic controller,ram error,the device memory in the cpu module is faulty,this suggests a cpu module hardware fault contact your nearest mitsubishi representative
mitsubishi,logic controller,ram error,the address ram in the cpu module is faulty,this suggests a cpu module hardware fault contact your nearest mitsubishi representative
mitsubishi,logic controller,ram error,the cpu shared memory in the cpu module is faulty," take noise reduction measures
 reset the cpu module and run it again if the same error is displayed again this suggests a cpu hardware fault "
mitsubishi,logic controller,fuse break off,there is an output module with a fuse blown,check err led of the output modules and replace the module of which led is lit
mitsubishi,logic controller,fuse break off,there is an output module with a fuse blown,"check led of the output modules and replace the fuse of the module of which led is lit
read the common information of the error using the peripheral device and replace the fuse at the output module corresponding to the numerical value module no reading "
mitsubishi,logic controller,fuse break off,external power supply for output load is turned off or disconnected,check whether the external power supply for output load is on or off
mitsubishi,logic controller,ex power off,external power supply for output load is turned off or disconnected,check whether the external power supply for output load is on or off
mitsubishi,logic controller,io int error,an interruption has occurred although there is no interrupt module,check the mounted modules and change the faulty module
mitsubishi,logic controller,sp unit down,"there was no response from the intelligent function module at initial updated
the size of the buffer memory of the intelligent function module is wrong",this suggests a cpu module hardware fault contact your nearest mitsubishi representative
mitsubishi,logic controller,sp unit down,when parameter io allocation was being made there was no return signal from the special function module at initial communication,this suggests a hardware fault for the special function module that was accessed contact your nearest mitsubishi representative
mitsubishi,logic controller,sp unit down,the intelligent function module was accessed in the program but there was no response,this suggests a cpu module hardware fault contact your nearest mitsubishi representative
mitsubishi,logic controller,sp unit down,the special function module was accessed at the execution of a fromto instruction set but there was no response,this suggests a hardware fault for the special function module that was accessed contact your nearest mitsubishi representative
mitsubishi,logic controller,sp unit down,"there was no response from the intelligent function module when the end instruction is executed
an error occurrence was detected at the intelligent function module",this suggests a hardware fault for the special function module that was accessed contact your nearest mitsubishi representative
mitsubishi,logic controller,controlbus err,when performing a parameter io allocation the special function module could not be accessed during initial communications,this suggests an error for the special function module cpu module or base module contact your nearest mitsubishi representative
mitsubishi,logic controller,controlbus err,the fromto instruction set could not be executed due to a system bus error with the special function module,this suggests an error for the special function module cpu module or base module contact your nearest mitsubishi representative
mitsubishi,logic controller,controlbus err,the qcpu of function version a is mounted,remove the qcpu of function version a from the base module
mitsubishi,logic controller,controlbus err,an error was detected on the q bus weight length timeout arbitration timeout,this suggests an error for the special function module cpu module or base module contact your nearest mitsubishi representative
mitsubishi,logic controller,controlbus err,fault of the mounted module was detected the qcpu of function version a is mounted,remove the qcpu of function version a from the base module
mitsubishi,logic controller,controlbus err,an error was detected on the q bus,this suggests an error for the special function module cpu module or base module contact your nearest mitsubishi representative
mitsubishi,logic controller,controlbus err,fault of the main and extension base module was detected,this suggests an error for the intelligent function module cpu module or base module contact your nearest mitsubishi representative
mitsubishi,logic controller,controlbus err,a bus fault was detected at poweron or reset,this suggests an error for the intelligent function module cpu module or base module contact your nearest mitsubishi representative
mitsubishi,logic controller,sys unit down,hardware fault at the system management module asr,this suggests a hardware fault contact your nearest mitsubishi representative
mitsubishi,logic controller,ac down,an instantaneous power supply interruption has occurred the power supply went off,check the power supply
mitsubishi,logic controller,dual dc down v,the power supply voltage vdc of either of the two power supply modules on the power supply duplex extension base module dropped to  or less of the rated voltage,check the supply voltage of the power supply module if the voltage is abnormal replace the power supply module
mitsubishi,logic controller,dc down v,the power supply voltage vdc of the power supply module on the extension base unit dropped to  or less of the rated voltage,check the supply voltage of the power supply module if the voltage is abnormal replace the power supply module
mitsubishi,logic controller,dc down v,the  vdc power supplied to the system management module asr has dropped to  or less of the rated voltage,check the power supply
mitsubishi,logic controller,battery error," voltage in the cpu module battery has dropped below stipulated level 
 the lead connector of cpu module battery is not set"," change the battery 
 if the battery is used for builtin ram or for the backup power function set a lead connector"
mitsubishi,logic controller,battery error,voltage of the battery on memory card  has dropped below stipulated level,change the battery
mitsubishi,logic controller,battery error,voltage of the battery on memory card  has dropped below stipulated level,change the battery
mitsubishi,logic controller,unit verify error,at a multiple cpu system configuration the qcpu of function version a is mounted,replace the qcpu of function version a with that of function version b
mitsubishi,logic controller,unit verify error,io module information at power on is changed io module including special function module is halfway to removing removed or mounted during operation,read the error common information with the peripheral device and check andor change the module that corresponds to the numerical value module number there
mitsubishi,logic controller,sp unit layer error,slot mounted with the qi is set to other than the intelligent intelligent function module in the parameter io assignment,make setting again to match the parameter io assignment with the actual loading status
mitsubishi,logic controller,sp unit layer error,in the parameter io allocation settings a location for an io module is allocated with the intelligent function module or vice versa,reset the parameter io allocation setting to conform to the actual status of the intelligent function module and the cpu module
mitsubishi,logic controller,sp unit layer error,in the parameter io allocation settings a location for a cpu module is allocated with a module other than the cpu or is set to vacant or vice versa,reset the parameter io allocation setting to conform to the actual status of the intelligent function module and the cpu module
mitsubishi,logic controller,sp unit layer error,the setting of generalpurpose switch was made to the module without that switch,reset the setting of generalpurpose switch
mitsubishi,logic controller,sp unit layer error,in parameter io allocation settings a location for an io module is allocated with the special function module or vice versa,reset the parameter io allocation setting to conform to the actual status of the special function modules
mitsubishi,logic controller,sp unit layer error, or more aseries special function modules except for the qi and asi that can make an interrupt start to the cpu module have been mounted,reduce the number of a series special function modules except for the qi and asi that can make an interrupt start to the cpu module to  or less
mitsubishi,logic controller,sp unit layer error, or more special function modules except for the asi capable that can make an interrupt start to the cpu module have been mounted,reduce the number of special function modules except for the qi and asi that can make an interrupt start to  or less
mitsubishi,logic controller,sp unit layer error, or more asds have been mounted,reduce the number of asds modules to  or less
mitsubishi,logic controller,sp unit layer error, or more serial communication modules excludes a s jqc have been mounted,reduce the number of serial communication modules except for the asjqc to  or less
mitsubishi,logic controller,sp unit layer error, or more qiasi modules are mounted in a single cpu system,reduce the number of qiasi modules mounted in the single cpu system to one
mitsubishi,logic controller,sp unit layer error, or more qiasi modules are mounted to the same control cpu in a multiple cpu system,change the number of qiasi modules set to the same control cpu to one in the multiple cpu system
mitsubishi,logic controller,sp unit layer error, or more asi modules are mounted in a multiple cpu system,reduce the number of asi modules to only one in the multiple cpu system
mitsubishi,logic controller,sp unit layer error, or more qi asi interrupt modules have been mounted,reduce the number of qi and asi modules to one
