,Fault,Diagnostic,Corrective Action,PLC,Model
660,i/o module error,an i/o module has failed.,"connect the click software to the click plc and check the system configuration. if there is any i/o module that is used in the plc system but not shown in the system configuration window, replace the i/o module.",CLICK,CLICK PLUS PLC
661,system config error,the current system configuration does not match the configuration saved in the project file,"connect the click software to the click plc and open the system configuration window. modify the current configuration of the click plc to match the configuration in the project file, or uncheck the ‘start-up i/o config check’ option if you want to use the current configuration.",CLICK,CLICK PLUS PLC
662,i/o config error,at least one i/o module was removed from the click plc during operation.,"power off the click plc and check the connection of the i/o modules. then power on the click plc again. if the problem remains, connect the click software to the plc and check the system configuration. if there is any i/o module that is not shown in the system configuration, replace it.",CLICK,CLICK PLUS PLC
663,i/o config error,the plc unit can not access one or more i/o modules.,"connect the click software to the click plc and open the system configuration window. if there is any i/o module that is used in the plc system but not shown in the system configuration window, replace the i/o module.",CLICK,CLICK PLUS PLC
664,memory check error,there is a memory check error.,"power cycle the click plc. if the same error occurs again, download the project again and/or try the ‘reset to factory default’ command. if the same error still occurs, replace the plc unit.",CLICK,CLICK PLUS PLC
665,project file error,there is no project file in the click plc.,download a project file into the click plc.,CLICK,CLICK PLUS PLC
666,project file error,the project file stored in the click plc is corrupted.,download the project file into the click plc again.,CLICK,CLICK PLUS PLC
667,firmware version error,the project file was written on a newer version of click software. the firmware in the click plc is too old to execute the project.,connect the click software to the click plc and update the firmware of the plc unit.,CLICK,CLICK PLUS PLC
668,watchdog timer error,the plc scan time exceeded the watchdog timer setup.,connect the click software to the plc and check the maximum plc scan time and the watchdog timer setup.,CLICK,CLICK PLUS PLC
669,interrupt watchdog timer error,the plc scan time exceeded the watchdog timer setup.,"the watchdog timer was exceeded while executing an interrupt program. reduce the occurrences of interrupts, or reduce the executing time of the interrupt programs to prevent this error.",CLICK,CLICK PLUS PLC
670,lost sram data,the data in the sram was lost while the click plc was powered off.,"the data in the sram is lost if the click plc is powered off for long enough for the capacitor to discharge. in this case, the click plc initializes the data in the sram automatically. this also applies to standard and analog plc units if a battery is not installed.",CLICK,CLICK PLUS PLC
671,battery low voltage,battery voltage is too low to retain data in the sram.,"replace the battery (adc part #: d2-bat-1). also, set the new battery installation date and the anticipated replacement date in the click programming software if the battery replacement notification option is selected.",CLICK,CLICK PLUS PLC
672,battery replacement,the anticipated battery replacement date has passed.,"replace the battery (adc part #: d2-bat-1). also, set the new battery installation date and the anticipated replacement date in the click programming software.",CLICK,CLICK PLUS PLC
673,io1 module error,the analog i/o module in i/o1 position is not functioning.,"power cycle the click plc. if the same error occurs again, replace the analog i/o module.",CLICK,CLICK PLUS PLC
674,io2 module error,the analog i/o module in i/o2 position is not functioning.,"power cycle the click plc. if the same error occurs again, replace the analog i/o module.",CLICK,CLICK PLUS PLC
675,io3 module error,the analog i/o module in i/o3 position is not functioning.,"power cycle the click plc. if the same error occurs again, replace the analog i/o module.",CLICK,CLICK PLUS PLC
676,io4 module error,the analog i/o module in i/o4 position is not functioning.,"power cycle the click plc. if the same error occurs again, replace the analog i/o module.",CLICK,CLICK PLUS PLC
677,io5 module error,the analog i/o module in i/o5 position is not functioning.,"power cycle the click plc. if the same error occurs again, replace the analog i/o module.",CLICK,CLICK PLUS PLC
678,io6 module error,the analog i/o module in i/o6 position is not functioning.,"power cycle the click plc. if the same error occurs again, replace the analog i/o module.",CLICK,CLICK PLUS PLC
679,io7 module error,the analog i/o module in i/o7 position is not functioning.,"power cycle the click plc. if the same error occurs again, replace the analog i/o module.",CLICK,CLICK PLUS PLC
680,io8 module error,the analog i/o module in i/o8 position is not functioning.,"power cycle the click plc. if the same error occurs again, replace the analog i/o module.",CLICK,CLICK PLUS PLC
681,io1 missing 24v,the analog i/o module in i/ o1 position is missing external 24vdc input.,apply 24vdc to the analog i/o module.,CLICK,CLICK PLUS PLC
682,io1 ch1 burnout,ch1 on the analog i/o module in i/o1 position senses burnout or open circuit.,check the wiring for ch1. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
683,io1 ch2 burnout,ch2 on the analog i/o module in i/o1 position senses burnout or open circuit.,check the wiring for ch2. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
684,io1 ch3 burnout,ch3 on the analog i/o module in i/o1 position senses burnout or open circuit.,check the wiring for ch3. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
685,io1 ch4 burnout,ch4 on the analog i/o module in i/o1 position senses burnout or open circuit.,check the wiring for ch4. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
686,io2 missing 24v,the analog i/o module in i/ o2 position is missing external 24vdc input.,apply 24vdc to the analog i/o module.,CLICK,CLICK PLUS PLC
687,io2 ch1 burnout,ch1 on the analog i/o module in i/o2 position senses burnout or open circuit.,check the wiring for ch1. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
688,io2 ch2 burnout,ch2 on the analog i/o module in i/o2 position senses burnout or open circuit.,check the wiring for ch2. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
689,io2 ch3 burnout,ch3 on the analog i/o module in i/o2 position senses burnout or open circuit.,check the wiring for ch3. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
690,io2 ch4 burnout,ch4 on the analog i/o module in i/o2 position senses burnout or open circuit.,check the wiring for ch4. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
691,io3 missing 24v,the analog i/o module in i/ o3 position is missing external 24vdc input.,apply 24vdc to the analog i/o module.,CLICK,CLICK PLUS PLC
692,io3 ch1 burnout,ch1 on the analog i/o module in i/o3 position senses burnout or open circuit.,check the wiring for ch1. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
693,io3 ch2 burnout,ch2 on the analog i/o module in i/o3 position senses burnout or open circuit.,check the wiring for ch2. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
694,io3 ch3 burnout,ch3 on the analog i/o module in i/o3 position senses burnout or open circuit.,check the wiring for ch3. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
695,io3 ch4 burnout,ch4 on the analog i/o module in i/o3 position senses burnout or open circuit.,check the wiring for ch4. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
696,io4 missing 24v,the analog i/o module in i/ o4 position is missing external 24vdc input.,apply 24vdc to the analog i/o module.,CLICK,CLICK PLUS PLC
697,io4 ch1 burnout,ch1 on the analog i/o module in i/o4 position senses burnout or open circuit.,check the wiring for ch1. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
698,io4 ch2 burnout,ch2 on the analog i/o module in i/o4 position senses burnout or open circuit.,check the wiring for ch2. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
699,io4 ch3 burnout,ch3 on the analog i/o module in i/o4 position senses burnout or open circuit.,check the wiring for ch3. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
700,io4 ch4 burnout,ch4 on the analog i/o module in i/o4 position senses burnout or open circuit.,check the wiring for ch4. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
701,io5 missing 24v,the analog i/o module in i/ o5 position is missing external 24vdc input.,apply 24vdc to the analog i/o module.,CLICK,CLICK PLUS PLC
702,io5 ch1 burnout,ch1 on the analog i/o module in i/o5 position senses burnout or open circuit.,check the wiring for ch1. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
703,io5 ch2 burnout,ch2 on the analog i/o module in i/o5 position senses burnout or open circuit.,check the wiring for ch2. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
704,io5 ch3 burnout,ch3 on the analog i/o module in i/o5 position senses burnout or open circuit.,check the wiring for ch3. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
705,io5 ch4 burnout,ch4 on the analog i/o module in i/o5 position senses burnout or open circuit.,check the wiring for ch4. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
706,io6 missing 24v,the analog i/o module in i/ o6 position is missing external 24vdc input.,apply 24vdc to the analog i/o module.,CLICK,CLICK PLUS PLC
707,io6 ch1 burnout,ch1 on the analog i/o module in i/o6 position senses burnout or open circuit.,check the wiring for ch1. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
708,io6 ch2 burnout,ch2 on the analog i/o module in i/o6 position senses burnout or open circuit.,check the wiring for ch2. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
709,io6 ch3 burnout,ch3 on the analog i/o module in i/o6 position senses burnout or open circuit.,check the wiring for ch3. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
710,io6 ch4 burnout,ch4 on the analog i/o module in i/o6 position senses burnout or open circuit.,check the wiring for ch4. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
711,io7 missing 24v,the analog i/o module in i/ o7 position is missing external 24vdc input.,apply 24vdc to the analog i/o module.,CLICK,CLICK PLUS PLC
712,io7 ch1 burnout,ch1 on the analog i/o module in i/o7position senses burnout or open circuit.,check the wiring for ch1. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
713,io7 ch2 burnout,ch2 on the analog i/o module in i/o7position senses burnout or open circuit.,check the wiring for ch2. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
714,io7 ch3 burnout,ch3 on the analog i/o module in i/o7position senses burnout or open circuit.,check the wiring for ch3. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
715,io7 ch4 burnout,ch4 on the analog i/o module in i/o7position senses burnout or open circuit.,check the wiring for ch4. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
716,io8 missing 24v,the analog i/o module in i/ o8 position is missing external 24vdc input.,apply 24vdc to the analog i/o module.,CLICK,CLICK PLUS PLC
717,io8 ch1 burnout,ch1 on the analog i/o module in i/o8 position senses burnout or open circuit.,check the wiring for ch1. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
718,io8 ch2 burnout,ch2 on the analog i/o module in i/o8 position senses burnout or open circuit.,check the wiring for ch2. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
719,io8 ch3 burnout,ch3 on the analog i/o module in i/o8 position senses burnout or open circuit.,check the wiring for ch3. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
720,io8 ch4 burnout,ch4 on the analog i/o module in i/o8 position senses burnout or open circuit.,check the wiring for ch4. replace the sensor if it is broken.,CLICK,CLICK PLUS PLC
721,pwr blinking,the plc input power is not sufficient.,check the voltage on the terminal located on the bottom of the plc. the input voltage should be 20-28 vdc. also check the power input wiring & terminal connections. the power supply may need to be replaced.,CLICK,CLICK PLUS PLC
722,pwr off,there is no power to the plc.,check the voltage on the terminal located on the bottom of the plc. the input voltage should be 20-28 vdc. also check the power input wiring & terminal connections. the power supply may need to be replaced.,CLICK,CLICK PLUS PLC
723,run blinking,"the plc is initializing the c0-04rtd or c0-04thm. when a c0-04rtd or c0-04thm is installed in the click plc system, the run led blinks for up to 11 seconds to indicate that the plc unit is initializing the analog input module after power-up.","if the run led keeps blinking after the initial 11 seconds, power cycle the click plc system. if the symptom remains, replace the plc unit and/or the analog input module.",CLICK,CLICK PLUS PLC
724,run off,the plc is in stop mode.,"if the toggle switch next to the led indicators is in stop position, no action is necessary. if the switch is in run position and you want to put the plc unit in run mode, toggle the switch to stop position and then back to run position. if the run led stays off, connect the click programming software to read the error information.",CLICK,CLICK PLUS PLC
725,err on,there is an error in the plc.,connect the click programming software to check the error.,CLICK,CLICK PLUS PLC
726,err blinking,there is a warning. warnings do not prevent the plc unit from running., check what warnings are active. connect the click programming software to read the warning information.,CLICK,CLICK PLUS PLC
727,conducted electronic noise.,"the electronic interference may enter through an i/o circuit, a power supply connection, the communication ground connection, or the chassis ground connection.",check that the safety ground connections are secure and that electrical wires and conduits are secure and in good condition.,CLICK,CLICK PLUS PLC
728,radiated electronic noise,this electronic noise can enter the system through the power source for the plc and i/o circuits.,install an isolation transformer for all ac sources.,CLICK,CLICK PLUS PLC
729,"input signal is on, but the led indicator on the module is off.",the terminal block may be disconnected.,check whether the terminal block is attached correctly.,CLICK,CLICK PLUS PLC
730,"the led indicator is on, but the plc does not work as expected.",there is a problem with the i/o configuration.,check the i/o configuration with the programming software.,CLICK,CLICK PLUS PLC
731,the module led indicator is on but there is no output.,incorrect external power input voltage to the terminal block.,check the external power input voltage on the terminal block.,CLICK,CLICK PLUS PLC
732,code of failed service,maximum number of permitted parallel services exceeded. (processing conflict),wait for the previously invoked service to be completed and try again,Phoenix,AXC 3050
733,value transimitted in parameter_count,the number of parameter is inconsistent with the service. the parameter _count parameter does not match the number of subsequent words.,adjust the number of parameters.,Phoenix,AXC 3050
734,code of failed service,the invoked service is not supported.,use a service that is supported.,Phoenix,AXC 3050
735,code of failed service,service decoding failed.,restart the device.,Phoenix,AXC 3050
736,code of the unknown service,invocation of an unknown service code.,check the invocation.,Phoenix,AXC 3050
737,invalid variable_id,unknown variable id component.,check the invocation.,Phoenix,AXC 3050
738,reserved variable_id,an internal variable id was used.,check the invocation.,Phoenix,AXC 3050
739,variable_id not enabled,the variable id is not enabled. (password protection),check the invocation.,Phoenix,AXC 3050
740,incorrect variable_id,length specification in the variable id is 0 or incorrect.,check the invocation.,Phoenix,AXC 3050
741,incorrect variable_count,the number of variables has been calculated incorrectly.,check the invocation.,Phoenix,AXC 3050
742,current state of the local bus master,a service was invoked that is not permitted in the current status of the local bus master.,set the local bus master to the required state.,Phoenix,AXC 3050
743,memory problem.,this error may occur because the buffer is too small.,restart the device.,Phoenix,AXC 3050
744,code of failed service,maximum number of permitted parallel sm services exceeded. (processing conflict,wait for the previously invoked service to be completed and try again.,Phoenix,AXC 3050
745,unknown variable_id,invocation of set_value or read_value with a variable_id that contains an unknown code.,check the invocation.,Phoenix,AXC 3050
746,current state of the local bus master,energy-saving mode cannot be activated in the current state of the local bus master.,set the local bus master to the required state.,Phoenix,AXC 3050
747,invalid used_attributes parameter,a reserved bit is set in used_attributes.,check the parameters.,Phoenix,AXC 3050
748,number of bus devices,the end of the frame was exceeded when accessing the configuration or line 0 was accessed.,check access.,Phoenix,AXC 3050
749,invalid frame_reference (if specified),the frame reference specified for the service does not exist.,check the parameters.,Phoenix,AXC 3050
750,number of connected devices,maximum number of devices exceeded.,reduce the bus configuration.,Phoenix,AXC 3050
751,unsupported chip version,device with an unsupported chip version present in the local bus.,replace the device.,Phoenix,AXC 3050
752,unsupported manufacturer,device from an unsupported manufacturer present in the local bus.,replace the device.,Phoenix,AXC 3050
753,faulty eeprom,device is reporting a serious error.,restart the device.,Phoenix,AXC 3050
754,device number,the master does not support the topology used by the device.,replace the device.,Phoenix,AXC 3050
755,device number,error at the interface.,check the connection be_x0002_tween the electronics module and bus base module.,Phoenix,AXC 3050
756,unknown number of parameters.,the device requires parameters for correct operation.,parameterize the device or restart it.,Phoenix,AXC 3050
757,object index,"service (e.g., create_configuration) could not be executed due to pdi communication malfunctions (timeout).",restart the device.,Phoenix,AXC 3050
758,object index,"service (e.g., create_configuration) could not be executed due to pdi communication malfunctions (number).",restart the device.,Phoenix,AXC 3050
759,object index,"service (e.g., create_configuration) could not be executed due to pdi communication malfunctions (error).",restart the device.,Phoenix,AXC 3050
760,device number,"device was selected for synchronization, but does not support this.",select a device that supports synchronization or change the selection.,Phoenix,AXC 3050
761,device number,"device was selected for synchronization, but does not support the specified cycle time.",select a different cycle time or a different device.,Phoenix,AXC 3050
762,device number,"device was selected for synchronization,  but does not support the specified value for input_delay.",select a different value for input_delay or a different device.,Phoenix,AXC 3050
763,device number,"device was selected for synchronization, but does not support the specified value for output_delay.",select a different value for output_delay or a different device.,Phoenix,AXC 3050
764,device number,"device was selected for synchronization,  but does not support the specified values for input_delay and output_delay.",select different values for in_x0002_put_delay and output_delay or a different device.,Phoenix,AXC 3050
765,error in the communication relationship,miscellaneous error,check the invocation.,Phoenix,AXC 3050
766,error in the communication relationship,unable to access the project. module not present or incorrect module number.,check the invocation.,Phoenix,AXC 3050
767,invalid service,miscellaneous error,check the invocation.,Phoenix,AXC 3050
768,invalid access,miscellaneous error,check the invocation.,Phoenix,AXC 3050
769,invalid access,invalid object,check the invocation.,Phoenix,AXC 3050
770,invalid access,hardware fault,eliminate the hardware fault. restart the device.,Phoenix,AXC 3050
771,error in the application,a reserved bit or reserved code was used during parameterization.,check the parameterization.,Phoenix,AXC 3050
772,pdi object index,invalid parameters.,check the parameters.,Phoenix,AXC 3050
773,pdi object index,access not supported.,check the invocation.,Phoenix,AXC 3050
774,pdi object index,maximum number of permitted parallel pdi services exceeded.,wait until the services have been processed.,Phoenix,AXC 3050
775,unknown variable_id,incorrect variable id for set_value or read_value.,check the invocation.,Phoenix,AXC 3050
776,invalid device number,invalid slot number. (value is 0 or greater than the maximum number of de_x0002_vices),check the invocation.,Phoenix,AXC 3050
777,invalid device number,slot is not active.,check the invocation.,Phoenix,AXC 3050
778,invalid data length,invalid data length,check the invocation.,Phoenix,AXC 3050
779,invalid number of parameters.,invalid number of parameters.,check the invocation.,Phoenix,AXC 3050
780,current,short circuit. overload of the analog output or short circuit.,check wiring.,Phoenix,AXC 3050
781,current,input overload. overload of the sensor supply for the inputs.,check wiring.,Phoenix,AXC 3050
782,current,overload or short circuit of the sensor supply and the actuator supply,check wiring.,Phoenix,AXC 3050
783,current,output overload. short circuit or overload of an output.,check wiring.,Phoenix,AXC 3050
784,current,sensor supply overload,check wiring.,Phoenix,AXC 3050
785,voltage,overvoltage at a signal input of the incremental encoder,check wiring.,Phoenix,AXC 3050
786,voltage,undervoltage at a signal input of the incremental encoder,check wiring.,Phoenix,AXC 3050
787,voltage,output voltage. short circuit or overload at the output.,check wiring.,Phoenix,AXC 3050
788,voltage,i/o supply voltage failure,check the supply,Phoenix,AXC 3050
789,voltage,overvoltage at port x,check the supply,Phoenix,AXC 3050
790,voltage,undervoltage at port x,check the supply,Phoenix,AXC 3050
791,voltage,sensor supply not present. i/o supply voltage failure.,check the supply,Phoenix,AXC 3050
792,voltage,actuator supply not present,check the supply,Phoenix,AXC 3050
793,temperature,overtemperature,reduce the ambient temperature,Phoenix,AXC 3050
794,temperature,overtemperature,ensure sufficient ventilation,Phoenix,AXC 3050
795,temperature,overtemperature,reduce the load,Phoenix,AXC 3050
796,temperature,overtemperature,check the mounting position,Phoenix,AXC 3050
797,device hardware,faulty 24 v supply. short circuit or overload at the 24 v supply.,check the supply,Phoenix,AXC 3050
798,device hardware,short circuit or overload at the 5 v supply,check the supply.,Phoenix,AXC 3050
799,device hardware,cold junction invalid,check the cold junction.,Phoenix,AXC 3050
800,device hardware,supply voltage faulty. i/o supply overload.,check the supply,Phoenix,AXC 3050
801,device software,parameter record incorrect,check the parameterization of the specified device.,Phoenix,AXC 3050
802,device software,device error,restart the device. replace the device if the error persists.,Phoenix,AXC 3050
803,device software,device error: lost parameters,"parameterize the specified device. 
restart the device. 
replace the device if the error persists.",Phoenix,AXC 3050
804,device software,parameter table invalid,check the parameterization of the specified device.,Phoenix,AXC 3050
805,encoder ,encoder error,check the encoder,Phoenix,AXC 3050
806,encoder ,electrical encoder error,check the encoder,Phoenix,AXC 3050
807,encoder ,logical encoder error,check the encoder,Phoenix,AXC 3050
808,modules,receive buffer full,read the receive buffer.,Phoenix,AXC 3050
809,modules,transmit buffer full,check the handshake.,Phoenix,AXC 3050
810,modules,eprom (device error),restart the device. replace the device if the error persists.,Phoenix,AXC 3050
811,modules,wire break on cable to sensor or on signal line.,remove the wire break.,Phoenix,AXC 3050
812,monitoring,transmit buffer full,check the handhsake,Phoenix,AXC 3050
813,monitoring,receive buffer full,read the receive buffer.,Phoenix,AXC 3050
814,monitoring,incremental encoder input error,"check the input signal.
remove the short circuit.
connect the encoder.",Phoenix,AXC 3050
815,monitoring,measuring range violated (overrange),"adjust the range.
check the wiring.",Phoenix,AXC 3050
816,monitoring,measuring range violated (underrange),"adjust the range.
check the wiring.",Phoenix,AXC 3050
817,"modular devices, lower-level bus (sub-bus)",lower-level bus: no module present,check the connected lower-level bus and its power supply.,Phoenix,AXC 3050
818,"modular devices, lower-level bus (sub-bus)",no module found at a port configured as io-link (after 5 seconds following port configuration),"check whether the io-link device is connected correctly.
check the cabling
replace the io-link device.",Phoenix,AXC 3050
819,"modular devices, lower-level bus (sub-bus)",lower-level bus: incorrect module present,"check the specified device and its power supply.
check the desired and actual configuration.",Phoenix,AXC 3050
820,"modular devices, lower-level bus (sub-bus)",connected io-link device does not match io-link port configuration.,"check the specified device and its power supply.
check the desired and actual configuration.",Phoenix,AXC 3050
821,"modular devices, lower-level bus (sub-bus)",lower-level bus: parameterization error on the device,check the parameterization.,Phoenix,AXC 3050
822,"modular devices, lower-level bus (sub-bus)",parameterization error on the device at the relevant port. data storage problem,check the parameterization.,Phoenix,AXC 3050
823,"modular devices, lower-level bus (sub-bus)",lower-level bus: management data communication error,check the specified device and its power supply.,Phoenix,AXC 3050
824,"modular devices, lower-level bus (sub-bus)",lower-level bus: configuration error,check the parameterization of the specified device.,Phoenix,AXC 3050
825,"modular devices, lower-level bus (sub-bus)",lower-level bus: hardware fault,restart the device. replace the device if the error persists.,Phoenix,AXC 3050
826,"modular devices, lower-level bus (sub-bus)",lower-level bus: firmware error,check the parameterization of the specified device.,Phoenix,AXC 3050
827,physical network connection problem,"physical cable connections from the end device to the wall may be disconnected.
the cables may be defective.","use the proper physical cable connections from the end device to the wall, patch panel, hub, or switch. check for cable defects, replace defective cables.",Schneider,Modicon TSX
828,physical network connection problem,there is no crossover cables between the netwrok devices.,"make sure that crossover cables have been used between network devices (hub-to-hub, switch-to-switch, etc.) where required.",Schneider,Modicon TSX
829,physical network connection problem,cable length exceeds the ethernet specifications,make sure the cable length does not exceed ethernet specifications.,Schneider,Modicon TSX
830,physical network connection problem (nic).,"the network card is not proprely seated in the machine,",make sure the traditional or pcmcia network card is properly seated in the machine. swap the nic card for another to test card performance.,Schneider,Modicon TSX
831,physical network hardware problem.,lack of power to the network hardware.,"check the hubs, switches, routers, and other network devices for power.",Schneider,Modicon TSX
832,physical network hardware problem.,there is an issue with the uplink cable connection.,check the uplink connectivity for stacked devices.,Schneider,Modicon TSX
833,tcp socket error (data is not transferred),"the tcp socket is aborted or closed before data transfer. some devices report an error code, but most report a timeout or general error message. ",solve this problem by correcting the tcp socket error,Schneider,Modicon TSX
834,fucntion code,all network servers do not support all function codes.,choose a supported function code to correct the error.,Schneider,Modicon TSX
835,request not accepted,a socket connection to the server cannot be established because of controlled access.,check access to the server.,Schneider,Modicon TSX
836,request not accepted,a socket connection to the server cannot be established because of the number of server sockets is exceeded.,ensure the number of server socets does not exceed the limit set.,Schneider,Modicon TSX
837,"a device can be discovered, but cannot be accessed to read data",incorrect community strings,the read string must be correct to read data and the write string must be correct to write data,Schneider,Modicon TSX
838,a device cannot be discovered.,"a known network device can not be discovered by an snmp management system, usually because the device does not support snmp or because a firewall blocks snmp traffic.",check the network device with a ping request from a dos prompt.,Schneider,Modicon TSX
839,device access,cannot access device. a firewall is a common access restriction.,the firewall should be configured to allow access to your http request.,Schneider,Modicon TSX
840,cannot log in to the device or cannot perform the desired action.,an incorrect username or password was used.,enter the correct username or passowrd while accessing the device.,Schneider,Modicon TSX
841,cannot perform the desired function.,"this problem is common when the current username does not provide access to the desired action (for example, an attempt to write a file is made with a read-only login).",ensure the login credentials provide access to the desired action selected.,Schneider,Modicon TSX
842,no response from the server to a request for an ip address,the server does not list the device by either rolename or mac address.,update the server table when adding a replacement device with a new mac address.,Schneider,Modicon TSX
843,no response from the server to a request for an ip address,a firewall or router prevents the client from reaching the server.,set up the server as a dhcp relay agent to correct the problem.,Schneider,Modicon TSX
844,slow response from the server causing a timeout on the client,a server can respond slowly when it is overloaded because many devices are powered up at the same time.,power up the devices at different times to avoid overloading the servers.,Schneider,Modicon TSX
845,slow response from the server causing a timeout on the client,a server can respond slowly when client and server are powered on at the same time.,ensure the server is powered first then power the client devices later.,Schneider,Modicon TSX
846,cannot connect to server,passowrd is incorrect,check that the server uses the same password scheme as the client. check that the passwords are correct.,Schneider,Modicon TSX
847,cannot send messages,server failure,check server connection error counter.,Schneider,Modicon TSX
848,messages slow to arrive,server delays,"send e-mail from pc client to confirm that it is a server delay and not a client delay. if server delay is confirmed, consult the it staff.",Schneider,Modicon TSX
849,network delys cause time inaccuracies,non-uniform network loads can cause large delays in either the request or response message because ntp algorithms that calculate accurate times assume uniform network delays.,eliminate the routers and switches between the server and client to move the server closer to the network client device.,Schneider,Modicon TSX
850,network delys cause time inaccuracies,non-uniform network loads can cause large delays in either the request or response message because ntp algorithms that calculate accurate times assume uniform network delays.,implement a separate network (possibly a vlan) for the ntp system to move the server closer to the network client device.,Schneider,Modicon TSX
851,slow response caused by scada,"if the observed response time is slow, then a queue of scada requests in the server can cause a long delay.","reduce the number of requests sent to the server.
start an additional queue for data access and send requests on that path.",Schneider,Modicon TSX
852,bridge communication faailure,slow responses or communication failure,reduce the number of devices on the serial line side of the bridge.,Schneider,Modicon TSX
853,responding to packet loss,packet lost in a switch or network device,check the switch load.,Schneider,Modicon TSX
854,responding to packet loss,packet loss causes an application error,extend the application timeout to allow for the recovery of tcp layer.,Schneider,Modicon TSX
855,responding to packet loss,packet loss causes an application error,modify the devices for faster tcp layer recovery (requires a firmware change),Schneider,Modicon TSX
856,responding to packet loss,packet loss causes an application error,reduce the number of packets lost.,Schneider,Modicon TSX
857,packets capture problem,packets from the required device are not seen. only packets to or from the host pc are captured by the tool,the package does not operate in promiscuous mode. enable this mode to allow the computer to capture all data seen on the ethernet cable connected to the computer.,Schneider,Modicon TSX
858,packets capture problem,"packets from the device being analyzed are not captured, but broadcast packets are.","to allow the packet capture tool to see the packet, do one of the following:
replace the switch with a hub.
insert a hub between the device in question and the switch.
enable port mirroring.
configure the switch to operate as a hub.",Schneider,Modicon TSX
859,main cpu down,"run mode suspended or failure of main cpu
(1) malfunctioning due to noise or other reason
(2) hardware fault","(1) take noise reduction measures.
(2) reset the cpu module and run it again. if the same error is displayed again, this suggests a cpu hardware fault.",Mitsubishi,Logic Controller
860,end not execute,entire program was executed without the execution of an end instruction.,"(1) take noise reduction measures.
(2) reset the cpu module and run it again. if the same error is displayed again, this suggests a cpu hardware fault. ",Mitsubishi,Logic Controller
861,ram error,the sequence program storing built-in ram/program memory in the cpu module is faulty.,this suggests a cpu module hardware fault. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
862,ram error,the work area ram in the cpu module is faulty,this suggests a cpu module hardware fault. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
863,ram error,the device memory in the cpu module is faulty.,this suggests a cpu module hardware fault. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
864,ram error,the address ram in the cpu module is faulty,this suggests a cpu module hardware fault. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
865,ram error,the cpu shared memory in the cpu module is faulty,"(1) take noise reduction measures.
(2) reset the cpu module and run it again. if the same error is displayed again, this suggests a cpu hardware fault. ",Mitsubishi,Logic Controller
866,fuse break off,there is an output module with a fuse blown.,check err. led of the output modules and replace the module of which led is lit.,Mitsubishi,Logic Controller
867,fuse break off,there is an output module with a fuse blown.,"check led of the output modules and replace the fuse of the module of which led is lit.
read the common information of the error using the peripheral device and replace the fuse at the output module corresponding to the numerical value (module no.) reading. ",Mitsubishi,Logic Controller
868,fuse break off,external power supply for output load is turned off or disconnected.,check whether the external power supply for output load is on or off.,Mitsubishi,Logic Controller
869,ex power off,external power supply for output load is turned off or disconnected.,check whether the external power supply for output load is on or off.,Mitsubishi,Logic Controller
870,i/o int error,an interruption has occurred although there is no interrupt module.,check the mounted modules and change the faulty module.,Mitsubishi,Logic Controller
871,sp unit down,"there was no response from the intelligent function module at initial updated
the size of the buffer memory of the intelligent function module is wrong.",this suggests a cpu module hardware fault. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
